educ,age,nonwhite,occ17_num,occ17,occ5_num,occ5
13,44,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,31,0,1,"Professionals, Self employed",1,Professional
20,37,0,13,Service,3,"Sales, Clerical, Services"
12,29,0,10,"Craftsmen, Construction",5,Other Blue Collar
16,26,0,2,"Professionals, Salaried",1,Professional
18,37,0,2,"Professionals, Salaried",1,Professional
14,36,1,4,"Salesmen, Other",2,Managerial
19,29,0,2,"Professionals, Salaried",1,Professional
12,28,0,3,Managers,2,Managerial
12,28,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,36,0,16,Farmers,2,Managerial
10,41,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,40,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
14,29,0,1,"Professionals, Self employed",1,Professional
16,27,0,2,"Professionals, Salaried",1,Professional
14,28,0,6,Clerical,3,"Sales, Clerical, Services"
12,41,1,14,"Laborers, Manufacturing",4,MFG Blue Collar
12,27,0,9,"Craftsmen, Other",5,Other Blue Collar
10,28,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
14,34,0,5,Proprietors,2,Managerial
16,42,0,4,"Salesmen, Other",2,Managerial
18,31,0,3,Managers,2,Managerial
14,33,0,2,"Professionals, Salaried",1,Professional
14,32,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,35,0,0,Unemployment,0,Unemployment
14,34,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,42,0,15,"Laborers, Other",5,Other Blue Collar
17,26,0,2,"Professionals, Salaried",1,Professional
14,40,0,3,Managers,2,Managerial
9,30,0,12,"Operatives, Other",5,Other Blue Collar
11,35,1,0,Unemployment,0,Unemployment
13,40,0,9,"Craftsmen, Other",5,Other Blue Collar
11,42,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,41,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
10,30,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,35,0,0,Unemployment,0,Unemployment
12,34,0,16,Farmers,2,Managerial
14,29,0,3,Managers,2,Managerial
17,41,0,1,"Professionals, Self employed",1,Professional
16,26,0,3,Managers,2,Managerial
16,28,0,16,Farmers,2,Managerial
12,39,0,5,Proprietors,2,Managerial
18,27,0,12,"Operatives, Other",5,Other Blue Collar
12,41,0,3,Managers,2,Managerial
12,30,0,2,"Professionals, Salaried",1,Professional
12,35,0,4,"Salesmen, Other",2,Managerial
12,42,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
14,27,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
15,25,0,3,Managers,2,Managerial
2,31,1,0,Unemployment,0,Unemployment
12,36,0,12,"Operatives, Other",5,Other Blue Collar
13,32,0,9,"Craftsmen, Other",5,Other Blue Collar
15,40,0,3,Managers,2,Managerial
10,32,0,12,"Operatives, Other",5,Other Blue Collar
20,25,0,0,Unemployment,0,Unemployment
16,25,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,32,0,4,"Salesmen, Other",2,Managerial
12,38,0,10,"Craftsmen, Construction",5,Other Blue Collar
17,25,0,5,Proprietors,2,Managerial
7,36,0,17,Farm laborers,5,Other Blue Collar
16,34,0,3,Managers,2,Managerial
14,38,0,4,"Salesmen, Other",2,Managerial
20,28,0,2,"Professionals, Salaried",1,Professional
12,30,0,0,Unemployment,0,Unemployment
12,25,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
14,42,0,13,Service,3,"Sales, Clerical, Services"
13,39,1,15,"Laborers, Other",5,Other Blue Collar
12,25,0,0,Unemployment,0,Unemployment
16,36,0,2,"Professionals, Salaried",1,Professional
13,32,0,15,"Laborers, Other",5,Other Blue Collar
13,30,0,10,"Craftsmen, Construction",5,Other Blue Collar
13,37,0,4,"Salesmen, Other",2,Managerial
7,36,1,15,"Laborers, Other",5,Other Blue Collar
12,39,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,34,0,12,"Operatives, Other",5,Other Blue Collar
11,40,1,12,"Operatives, Other",5,Other Blue Collar
18,32,0,3,Managers,2,Managerial
17,35,0,2,"Professionals, Salaried",1,Professional
8,32,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
14,30,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
16,29,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
19,30,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
20,36,1,2,"Professionals, Salaried",1,Professional
13,27,0,0,Unemployment,0,Unemployment
16,25,0,2,"Professionals, Salaried",1,Professional
19,43,0,2,"Professionals, Salaried",1,Professional
19,34,0,2,"Professionals, Salaried",1,Professional
9,42,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
14,28,1,15,"Laborers, Other",5,Other Blue Collar
13,25,0,0,Unemployment,0,Unemployment
12,35,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
16,37,1,15,"Laborers, Other",5,Other Blue Collar
12,25,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
16,36,0,2,"Professionals, Salaried",1,Professional
9,28,0,17,Farm laborers,5,Other Blue Collar
12,38,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,42,0,5,Proprietors,2,Managerial
5,42,0,15,"Laborers, Other",5,Other Blue Collar
17,29,0,0,Unemployment,0,Unemployment
12,35,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,29,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,31,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,35,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,42,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,28,1,11,"Operatives, Manufacturing",4,MFG Blue Collar
15,34,0,4,"Salesmen, Other",2,Managerial
8,30,1,13,Service,3,"Sales, Clerical, Services"
18,37,0,5,Proprietors,2,Managerial
12,25,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
5,38,1,14,"Laborers, Manufacturing",4,MFG Blue Collar
16,34,0,2,"Professionals, Salaried",1,Professional
14,27,0,15,"Laborers, Other",5,Other Blue Collar
16,32,0,4,"Salesmen, Other",2,Managerial
9,41,0,9,"Craftsmen, Other",5,Other Blue Collar
8,38,0,10,"Craftsmen, Construction",5,Other Blue Collar
8,44,0,13,Service,3,"Sales, Clerical, Services"
12,32,0,9,"Craftsmen, Other",5,Other Blue Collar
16,26,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
13,33,0,3,Managers,2,Managerial
12,38,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
19,34,0,2,"Professionals, Salaried",1,Professional
12,27,1,15,"Laborers, Other",5,Other Blue Collar
16,28,0,2,"Professionals, Salaried",1,Professional
11,29,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,29,0,10,"Craftsmen, Construction",5,Other Blue Collar
7,40,1,0,Unemployment,0,Unemployment
4,39,1,16,Farmers,2,Managerial
6,43,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
11,30,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,35,0,2,"Professionals, Salaried",1,Professional
11,30,1,3,Managers,2,Managerial
12,36,0,10,"Craftsmen, Construction",5,Other Blue Collar
16,35,0,12,"Operatives, Other",5,Other Blue Collar
16,27,0,2,"Professionals, Salaried",1,Professional
19,33,0,2,"Professionals, Salaried",1,Professional
6,32,1,9,"Craftsmen, Other",5,Other Blue Collar
9,31,0,10,"Craftsmen, Construction",5,Other Blue Collar
9,41,1,12,"Operatives, Other",5,Other Blue Collar
16,30,0,0,Unemployment,0,Unemployment
12,40,0,5,Proprietors,2,Managerial
14,30,1,10,"Craftsmen, Construction",5,Other Blue Collar
14,40,0,3,Managers,2,Managerial
18,33,0,3,Managers,2,Managerial
8,38,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
11,35,0,5,Proprietors,2,Managerial
11,27,0,15,"Laborers, Other",5,Other Blue Collar
12,33,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
2,44,1,14,"Laborers, Manufacturing",4,MFG Blue Collar
10,35,0,0,Unemployment,0,Unemployment
12,43,0,10,"Craftsmen, Construction",5,Other Blue Collar
15,36,0,13,Service,3,"Sales, Clerical, Services"
14,29,1,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,36,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,31,1,12,"Operatives, Other",5,Other Blue Collar
10,37,0,0,Unemployment,0,Unemployment
20,30,0,15,"Laborers, Other",5,Other Blue Collar
10,41,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
16,35,0,1,"Professionals, Self employed",1,Professional
15,33,0,3,Managers,2,Managerial
12,25,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,26,0,9,"Craftsmen, Other",5,Other Blue Collar
12,27,1,11,"Operatives, Manufacturing",4,MFG Blue Collar
18,35,0,2,"Professionals, Salaried",1,Professional
16,33,0,1,"Professionals, Self employed",1,Professional
14,33,0,2,"Professionals, Salaried",1,Professional
12,42,0,0,Unemployment,0,Unemployment
14,40,1,0,Unemployment,0,Unemployment
12,26,0,15,"Laborers, Other",5,Other Blue Collar
13,32,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
13,39,0,3,Managers,2,Managerial
16,26,0,0,Unemployment,0,Unemployment
12,33,0,10,"Craftsmen, Construction",5,Other Blue Collar
13,36,0,10,"Craftsmen, Construction",5,Other Blue Collar
16,42,0,1,"Professionals, Self employed",1,Professional
12,32,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,29,0,0,Unemployment,0,Unemployment
14,25,0,0,Unemployment,0,Unemployment
12,34,0,2,"Professionals, Salaried",1,Professional
16,25,0,2,"Professionals, Salaried",1,Professional
4,43,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
17,43,0,3,Managers,2,Managerial
15,26,0,3,Managers,2,Managerial
15,36,0,3,Managers,2,Managerial
12,27,0,0,Unemployment,0,Unemployment
12,27,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,43,0,15,"Laborers, Other",5,Other Blue Collar
10,35,0,12,"Operatives, Other",5,Other Blue Collar
14,28,0,3,Managers,2,Managerial
14,28,0,5,Proprietors,2,Managerial
18,29,0,2,"Professionals, Salaried",1,Professional
11,32,1,12,"Operatives, Other",5,Other Blue Collar
16,36,1,2,"Professionals, Salaried",1,Professional
12,40,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,26,1,12,"Operatives, Other",5,Other Blue Collar
16,33,0,4,"Salesmen, Other",2,Managerial
12,33,0,15,"Laborers, Other",5,Other Blue Collar
18,36,1,2,"Professionals, Salaried",1,Professional
14,29,0,0,Unemployment,0,Unemployment
14,41,0,0,Unemployment,0,Unemployment
8,40,0,12,"Operatives, Other",5,Other Blue Collar
18,28,0,0,Unemployment,0,Unemployment
13,26,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
13,27,0,0,Unemployment,0,Unemployment
16,32,0,1,"Professionals, Self employed",1,Professional
12,30,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,38,0,4,"Salesmen, Other",2,Managerial
15,31,0,10,"Craftsmen, Construction",5,Other Blue Collar
20,40,0,1,"Professionals, Self employed",1,Professional
12,44,0,10,"Craftsmen, Construction",5,Other Blue Collar
9,33,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,38,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
11,33,1,9,"Craftsmen, Other",5,Other Blue Collar
14,28,0,3,Managers,2,Managerial
17,27,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,26,0,16,Farmers,2,Managerial
19,33,0,2,"Professionals, Salaried",1,Professional
11,29,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,39,0,12,"Operatives, Other",5,Other Blue Collar
14,26,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,27,0,9,"Craftsmen, Other",5,Other Blue Collar
16,30,0,2,"Professionals, Salaried",1,Professional
19,27,0,0,Unemployment,0,Unemployment
16,28,0,13,Service,3,"Sales, Clerical, Services"
17,30,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
15,26,0,3,Managers,2,Managerial
18,27,0,2,"Professionals, Salaried",1,Professional
12,43,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
10,42,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
9,41,0,15,"Laborers, Other",5,Other Blue Collar
16,28,0,5,Proprietors,2,Managerial
12,39,0,5,Proprietors,2,Managerial
12,38,0,9,"Craftsmen, Other",5,Other Blue Collar
9,32,1,12,"Operatives, Other",5,Other Blue Collar
12,37,0,5,Proprietors,2,Managerial
13,35,0,3,Managers,2,Managerial
17,35,0,2,"Professionals, Salaried",1,Professional
16,35,0,4,"Salesmen, Other",2,Managerial
14,34,1,11,"Operatives, Manufacturing",4,MFG Blue Collar
15,25,0,1,"Professionals, Self employed",1,Professional
16,43,0,2,"Professionals, Salaried",1,Professional
11,35,0,12,"Operatives, Other",5,Other Blue Collar
16,29,0,2,"Professionals, Salaried",1,Professional
10,34,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
8,37,0,15,"Laborers, Other",5,Other Blue Collar
11,44,0,3,Managers,2,Managerial
16,27,0,2,"Professionals, Salaried",1,Professional
12,39,0,3,Managers,2,Managerial
8,31,0,12,"Operatives, Other",5,Other Blue Collar
9,43,0,0,Unemployment,0,Unemployment
18,39,0,4,"Salesmen, Other",2,Managerial
15,31,0,13,Service,3,"Sales, Clerical, Services"
13,43,0,16,Farmers,2,Managerial
4,41,1,12,"Operatives, Other",5,Other Blue Collar
17,27,0,2,"Professionals, Salaried",1,Professional
6,32,0,14,"Laborers, Manufacturing",4,MFG Blue Collar
12,28,0,5,Proprietors,2,Managerial
12,26,0,15,"Laborers, Other",5,Other Blue Collar
16,25,1,0,Unemployment,0,Unemployment
11,36,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,38,0,5,Proprietors,2,Managerial
14,32,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,26,0,12,"Operatives, Other",5,Other Blue Collar
16,28,0,3,Managers,2,Managerial
12,42,0,3,Managers,2,Managerial
10,34,0,9,"Craftsmen, Other",5,Other Blue Collar
17,37,0,0,Unemployment,0,Unemployment
8,37,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,41,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,29,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
11,44,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
9,37,0,12,"Operatives, Other",5,Other Blue Collar
7,42,0,10,"Craftsmen, Construction",5,Other Blue Collar
17,25,0,2,"Professionals, Salaried",1,Professional
12,40,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,26,1,0,Unemployment,0,Unemployment
14,30,0,2,"Professionals, Salaried",1,Professional
16,28,0,2,"Professionals, Salaried",1,Professional
17,26,0,5,Proprietors,2,Managerial
12,39,1,14,"Laborers, Manufacturing",4,MFG Blue Collar
16,38,0,5,Proprietors,2,Managerial
9,39,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
7,30,1,0,Unemployment,0,Unemployment
16,34,0,2,"Professionals, Salaried",1,Professional
13,36,1,10,"Craftsmen, Construction",5,Other Blue Collar
14,40,0,5,Proprietors,2,Managerial
10,38,0,10,"Craftsmen, Construction",5,Other Blue Collar
17,31,0,2,"Professionals, Salaried",1,Professional
12,30,1,11,"Operatives, Manufacturing",4,MFG Blue Collar
3,43,0,13,Service,3,"Sales, Clerical, Services"
12,39,0,2,"Professionals, Salaried",1,Professional
18,34,0,2,"Professionals, Salaried",1,Professional
12,27,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,31,1,13,Service,3,"Sales, Clerical, Services"
13,40,1,0,Unemployment,0,Unemployment
7,41,1,13,Service,3,"Sales, Clerical, Services"
17,27,0,4,"Salesmen, Other",2,Managerial
20,43,0,3,Managers,2,Managerial
14,27,1,5,Proprietors,2,Managerial
16,38,0,3,Managers,2,Managerial
14,37,0,13,Service,3,"Sales, Clerical, Services"
12,43,0,15,"Laborers, Other",5,Other Blue Collar
9,31,0,12,"Operatives, Other",5,Other Blue Collar
13,38,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,29,0,2,"Professionals, Salaried",1,Professional
13,30,0,9,"Craftsmen, Other",5,Other Blue Collar
17,27,0,2,"Professionals, Salaried",1,Professional
16,35,0,3,Managers,2,Managerial
12,42,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
16,26,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,29,0,5,Proprietors,2,Managerial
15,33,0,0,Unemployment,0,Unemployment
12,32,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,31,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,30,0,13,Service,3,"Sales, Clerical, Services"
15,33,0,3,Managers,2,Managerial
14,30,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
9,38,0,4,"Salesmen, Other",2,Managerial
12,30,1,9,"Craftsmen, Other",5,Other Blue Collar
17,27,0,2,"Professionals, Salaried",1,Professional
16,38,0,2,"Professionals, Salaried",1,Professional
14,33,0,12,"Operatives, Other",5,Other Blue Collar
7,39,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
14,30,0,9,"Craftsmen, Other",5,Other Blue Collar
16,41,0,1,"Professionals, Self employed",1,Professional
14,30,1,0,Unemployment,0,Unemployment
15,26,0,2,"Professionals, Salaried",1,Professional
10,33,0,4,"Salesmen, Other",2,Managerial
16,25,0,3,Managers,2,Managerial
13,29,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,29,0,12,"Operatives, Other",5,Other Blue Collar
10,40,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
13,36,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,25,1,11,"Operatives, Manufacturing",4,MFG Blue Collar
13,25,0,0,Unemployment,0,Unemployment
14,40,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
16,25,1,0,Unemployment,0,Unemployment
10,33,0,0,Unemployment,0,Unemployment
16,26,0,3,Managers,2,Managerial
12,25,0,13,Service,3,"Sales, Clerical, Services"
13,30,0,5,Proprietors,2,Managerial
7,29,0,0,Unemployment,0,Unemployment
16,35,0,2,"Professionals, Salaried",1,Professional
11,28,0,0,Unemployment,0,Unemployment
12,43,0,16,Farmers,2,Managerial
15,30,0,13,Service,3,"Sales, Clerical, Services"
16,27,0,2,"Professionals, Salaried",1,Professional
16,30,0,3,Managers,2,Managerial
12,37,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,34,0,2,"Professionals, Salaried",1,Professional
12,32,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,37,0,3,Managers,2,Managerial
12,30,0,6,Clerical,3,"Sales, Clerical, Services"
12,26,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
11,34,0,5,Proprietors,2,Managerial
20,32,0,2,"Professionals, Salaried",1,Professional
10,34,0,12,"Operatives, Other",5,Other Blue Collar
11,35,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
8,33,0,0,Unemployment,0,Unemployment
12,41,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,35,0,9,"Craftsmen, Other",5,Other Blue Collar
18,43,0,2,"Professionals, Salaried",1,Professional
18,37,1,2,"Professionals, Salaried",1,Professional
14,40,0,2,"Professionals, Salaried",1,Professional
12,27,0,3,Managers,2,Managerial
9,29,0,10,"Craftsmen, Construction",5,Other Blue Collar
8,42,0,13,Service,3,"Sales, Clerical, Services"
10,42,0,2,"Professionals, Salaried",1,Professional
12,31,0,2,"Professionals, Salaried",1,Professional
11,30,0,10,"Craftsmen, Construction",5,Other Blue Collar
13,32,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
18,36,0,3,Managers,2,Managerial
13,41,0,3,Managers,2,Managerial
13,42,0,3,Managers,2,Managerial
19,39,0,0,Unemployment,0,Unemployment
12,34,1,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,28,0,16,Farmers,2,Managerial
16,30,1,2,"Professionals, Salaried",1,Professional
15,26,0,13,Service,3,"Sales, Clerical, Services"
12,27,0,14,"Laborers, Manufacturing",4,MFG Blue Collar
9,26,0,0,Unemployment,0,Unemployment
20,40,0,2,"Professionals, Salaried",1,Professional
12,41,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,39,0,14,"Laborers, Manufacturing",4,MFG Blue Collar
17,28,0,10,"Craftsmen, Construction",5,Other Blue Collar
15,29,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,41,0,9,"Craftsmen, Other",5,Other Blue Collar
16,36,0,3,Managers,2,Managerial
9,44,0,0,Unemployment,0,Unemployment
12,34,0,16,Farmers,2,Managerial
15,43,0,0,Unemployment,0,Unemployment
13,30,0,2,"Professionals, Salaried",1,Professional
12,39,0,13,Service,3,"Sales, Clerical, Services"
12,28,0,2,"Professionals, Salaried",1,Professional
14,34,0,5,Proprietors,2,Managerial
12,35,0,3,Managers,2,Managerial
12,36,0,2,"Professionals, Salaried",1,Professional
13,27,0,0,Unemployment,0,Unemployment
16,30,0,5,Proprietors,2,Managerial
12,35,1,15,"Laborers, Other",5,Other Blue Collar
12,35,0,9,"Craftsmen, Other",5,Other Blue Collar
12,32,0,12,"Operatives, Other",5,Other Blue Collar
12,26,1,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,32,1,0,Unemployment,0,Unemployment
12,30,0,13,Service,3,"Sales, Clerical, Services"
12,35,0,10,"Craftsmen, Construction",5,Other Blue Collar
16,26,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,34,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,30,0,5,Proprietors,2,Managerial
16,43,0,2,"Professionals, Salaried",1,Professional
16,26,0,13,Service,3,"Sales, Clerical, Services"
17,33,0,2,"Professionals, Salaried",1,Professional
11,34,0,15,"Laborers, Other",5,Other Blue Collar
12,25,1,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
7,40,1,12,"Operatives, Other",5,Other Blue Collar
12,33,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,25,0,2,"Professionals, Salaried",1,Professional
12,39,0,3,Managers,2,Managerial
17,27,0,0,Unemployment,0,Unemployment
16,27,0,2,"Professionals, Salaried",1,Professional
12,26,0,0,Unemployment,0,Unemployment
15,30,0,15,"Laborers, Other",5,Other Blue Collar
16,27,0,2,"Professionals, Salaried",1,Professional
20,31,0,0,Unemployment,0,Unemployment
13,44,0,4,"Salesmen, Other",2,Managerial
12,25,0,6,Clerical,3,"Sales, Clerical, Services"
7,44,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
16,38,0,2,"Professionals, Salaried",1,Professional
16,42,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,42,0,2,"Professionals, Salaried",1,Professional
12,32,0,14,"Laborers, Manufacturing",4,MFG Blue Collar
13,33,0,12,"Operatives, Other",5,Other Blue Collar
16,40,0,5,Proprietors,2,Managerial
11,42,0,0,Unemployment,0,Unemployment
11,42,0,4,"Salesmen, Other",2,Managerial
17,35,0,2,"Professionals, Salaried",1,Professional
12,34,0,2,"Professionals, Salaried",1,Professional
14,30,1,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,33,0,2,"Professionals, Salaried",1,Professional
14,28,0,2,"Professionals, Salaried",1,Professional
10,31,0,0,Unemployment,0,Unemployment
8,25,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
15,28,0,3,Managers,2,Managerial
12,26,1,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
19,32,0,3,Managers,2,Managerial
11,41,1,12,"Operatives, Other",5,Other Blue Collar
8,44,0,10,"Craftsmen, Construction",5,Other Blue Collar
12,42,0,9,"Craftsmen, Other",5,Other Blue Collar
16,25,1,2,"Professionals, Salaried",1,Professional
15,26,0,0,Unemployment,0,Unemployment
12,38,0,10,"Craftsmen, Construction",5,Other Blue Collar
14,42,0,5,Proprietors,2,Managerial
7,37,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
13,43,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
12,40,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
8,27,0,9,"Craftsmen, Other",5,Other Blue Collar
18,33,0,2,"Professionals, Salaried",1,Professional
14,27,0,0,Unemployment,0,Unemployment
12,26,0,3,Managers,2,Managerial
11,32,0,0,Unemployment,0,Unemployment
14,33,0,3,Managers,2,Managerial
10,38,0,10,"Craftsmen, Construction",5,Other Blue Collar
16,27,1,2,"Professionals, Salaried",1,Professional
16,25,0,0,Unemployment,0,Unemployment
12,40,0,4,"Salesmen, Other",2,Managerial
12,38,0,9,"Craftsmen, Other",5,Other Blue Collar
12,32,0,12,"Operatives, Other",5,Other Blue Collar
13,43,0,2,"Professionals, Salaried",1,Professional
12,44,0,2,"Professionals, Salaried",1,Professional
7,40,1,15,"Laborers, Other",5,Other Blue Collar
10,40,0,0,Unemployment,0,Unemployment
20,32,1,2,"Professionals, Salaried",1,Professional
15,29,0,12,"Operatives, Other",5,Other Blue Collar
15,42,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,30,0,3,Managers,2,Managerial
15,38,1,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,42,0,4,"Salesmen, Other",2,Managerial
20,42,0,2,"Professionals, Salaried",1,Professional
14,25,0,13,Service,3,"Sales, Clerical, Services"
12,34,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,29,0,10,"Craftsmen, Construction",5,Other Blue Collar
